date,time_of_day,vehicle_count,congestion_level,day_of_week,Is_Holiday,Weather_Condition,Avg_Speed
2024-01-02,20:00:00,98,0.4,Tuesday,No,Clear,57
2024-01-02,21:00:00,178,0.38,Tuesday,No,Snow,56
2024-01-02,22:00:00,247,0.82,Tuesday,No,Clear,31
2024-01-02,23:00:00,223,0.56,Tuesday,No,Snow,53
2024-01-03,00:00:00,267,0.49,Wednesday,No,Clear,29
2024-01-03,01:00:00,121,0.72,Wednesday,No,Rain,59
2024-01-03,02:00:00,118,0.75,Wednesday,No,Clear,64
2024-01-03,03:00:00,90,0.49,Wednesday,No,Clear,66
2024-01-03,04:00:00,60,0.46,Wednesday,No,Clear,68
2024-01-03,05:00:00,286,0.47,Wednesday,No,Snow,39
2024-01-03,06:00:00,231,0.42,Wednesday,No,Rain,22
2024-01-03,07:00:00,87,0.66,Wednesday,No,Clear,31
2024-01-03,08:00:00,246,0.78,Wednesday,No,Clear,40
2024-01-03,09:00:00,75,0.87,Wednesday,Yes,Clear,58
2024-01-03,10:00:00,106,0.89,Wednesday,No,Clear,56
2024-01-03,11:00:00,57,0.54,Wednesday,No,Snow,27
2024-01-03,12:00:00,195,0.47,Wednesday,No,Clear,41
2024-01-03,13:00:00,53,0.79,Wednesday,No,Clear,21
2024-01-03,14:00:00,298,0.53,Wednesday,No,Rain,61
2024-01-03,15:00:00,279,0.36,Wednesday,No,Clear,41
2024-01-03,16:00:00,280,0.56,Wednesday,No,Clear,57
2024-01-03,17:00:00,295,0.68,Wednesday,No,Clear,37
2024-01-03,18:00:00,293,0.33,Wednesday,Yes,Rain,67
2024-01-03,19:00:00,142,0.83,Wednesday,No,Clear,55
2024-01-03,20:00:00,297,0.95,Wednesday,No,Clear,55
2024-01-03,21:00:00,145,0.36,Wednesday,No,Clear,26
2024-01-03,22:00:00,127,0.79,Wednesday,No,Clear,22
2024-01-03,23:00:00,116,0.64,Wednesday,No,Clear,69
2024-01-04,00:00:00,56,0.73,Thursday,No,Clear,61
2024-01-04,01:00:00,187,0.49,Thursday,No,Clear,23
2024-01-04,02:00:00,141,0.99,Thursday,Yes,Rain,50
2024-01-04,03:00:00,193,0.44,Thursday,No,Clear,66
2024-01-04,04:00:00,109,0.48,Thursday,No,Clear,20
2024-01-04,05:00:00,112,0.31,Thursday,No,Rain,59
2024-01-04,06:00:00,271,0.88,Thursday,No,Clear,53
2024-01-04,07:00:00,201,0.6,Thursday,No,Clear,40
2024-01-04,08:00:00,216,0.32,Thursday,No,Clear,46
2024-01-04,09:00:00,59,0.68,Thursday,No,Clear,30
2024-01-04,10:00:00,163,0.94,Thursday,No,Rain,49
2024-01-04,11:00:00,51,0.99,Thursday,No,Clear,35
2024-01-04,12:00:00,117,0.58,Thursday,No,Clear,68
2024-01-04,13:00:00,91,0.78,Thursday,No,Clear,65
2024-01-04,14:00:00,184,0.8,Thursday,No,Clear,34
2024-01-04,15:00:00,154,0.76,Thursday,No,Clear,61
2024-01-04,16:00:00,150,0.64,Thursday,No,Clear,28
2024-01-04,17:00:00,69,0.93,Thursday,No,Clear,21
2024-01-04,18:00:00,190,0.42,Thursday,No,Rain,68
2024-01-04,19:00:00,115,0.37,Thursday,No,Rain,23
2024-01-04,20:00:00,264,0.67,Thursday,No,Clear,37
2024-01-04,21:00:00,267,0.37,Thursday,No,Rain,63
2024-01-04,22:00:00,246,0.32,Thursday,No,Clear,62
2024-01-04,23:00:00,285,0.49,Thursday,No,Clear,55
2024-01-05,00:00:00,243,0.85,Friday,No,Clear,56
2024-01-05,01:00:00,291,0.98,Friday,No,Clear,24
2024-01-05,02:00:00,220,0.36,Friday,No,Clear,32
2024-01-05,03:00:00,299,0.95,Friday,No,Rain,31
2024-01-05,04:00:00,145,0.74,Friday,No,Clear,24
2024-01-05,05:00:00,63,0.68,Friday,No,Clear,37
2024-01-05,06:00:00,123,0.59,Friday,No,Clear,24
2024-01-05,07:00:00,270,0.84,Friday,No,Clear,60
2024-01-05,08:00:00,265,0.97,Friday,No,Clear,29
2024-01-05,09:00:00,191,0.63,Friday,No,Clear,22
2024-01-05,10:00:00,80,0.56,Friday,No,Rain,26
2024-01-05,11:00:00,120,0.42,Friday,No,Rain,65
2024-01-05,12:00:00,227,0.81,Friday,No,Clear,45
2024-01-05,13:00:00,294,0.83,Friday,No,Clear,51
2024-01-05,14:00:00,246,0.69,Friday,No,Rain,56
2024-01-05,15:00:00,84,0.76,Friday,No,Clear,34
2024-01-05,16:00:00,214,0.87,Friday,No,Clear,35
2024-01-05,17:00:00,287,0.91,Friday,Yes,Rain,54
2024-01-05,18:00:00,113,0.88,Friday,No,Clear,48
2024-01-05,19:00:00,120,0.43,Friday,No,Clear,41
2024-01-05,20:00:00,267,0.75,Friday,No,Rain,38
2024-01-05,21:00:00,132,0.53,Friday,No,Rain,29
2024-01-05,22:00:00,50,0.77,Friday,No,Snow,33
2024-01-05,23:00:00,250,0.84,Friday,Yes,Clear,39
2024-01-06,00:00:00,96,0.89,Saturday,No,Clear,39
2024-01-06,01:00:00,183,0.71,Saturday,No,Clear,69
2024-01-06,02:00:00,137,0.43,Saturday,No,Rain,33
2024-01-06,03:00:00,297,0.3,Saturday,No,Clear,62
2024-01-06,04:00:00,208,0.87,Saturday,No,Clear,53
2024-01-06,05:00:00,103,0.43,Saturday,No,Clear,47
2024-01-06,06:00:00,227,0.5,Saturday,No,Clear,44
2024-01-06,07:00:00,67,0.78,Saturday,No,Rain,42
2024-01-06,08:00:00,92,0.96,Saturday,No,Snow,37
2024-01-06,09:00:00,105,0.52,Saturday,No,Clear,24
2024-01-06,10:00:00,185,0.85,Saturday,No,Clear,48
2024-01-06,11:00:00,170,1.0,Saturday,No,Clear,65
2024-01-06,12:00:00,214,0.56,Saturday,Yes,Clear,40
2024-01-06,13:00:00,265,0.81,Saturday,No,Clear,57
2024-01-06,14:00:00,192,0.93,Saturday,No,Clear,35
2024-01-06,15:00:00,299,0.69,Saturday,No,Clear,47
2024-01-06,16:00:00,298,0.53,Saturday,Yes,Rain,34
2024-01-06,17:00:00,113,0.64,Saturday,Yes,Clear,40
2024-01-06,18:00:00,111,0.73,Saturday,No,Clear,56
2024-01-06,19:00:00,162,0.64,Saturday,No,Snow,50
2024-01-06,20:00:00,161,0.97,Saturday,No,Clear,36
2024-01-06,21:00:00,203,0.43,Saturday,No,Clear,41
2024-01-06,22:00:00,74,0.41,Saturday,No,Clear,55
2024-01-06,23:00:00,182,0.51,Saturday,No,Rain,29
2024-01-07,00:00:00,167,0.58,Sunday,No,Rain,61
2024-01-07,01:00:00,91,0.79,Sunday,Yes,Clear,43
2024-01-07,02:00:00,95,0.92,Sunday,No,Clear,65
2024-01-07,03:00:00,265,0.83,Sunday,No,Clear,56
2024-01-07,04:00:00,164,0.46,Sunday,No,Clear,27
2024-01-07,05:00:00,127,0.57,Sunday,No,Clear,22
2024-01-07,06:00:00,222,0.68,Sunday,No,Clear,52
2024-01-07,07:00:00,253,0.39,Sunday,No,Clear,69
2024-01-07,08:00:00,259,0.84,Sunday,Yes,Clear,40
2024-01-07,09:00:00,292,0.5,Sunday,No,Clear,41
2024-01-07,10:00:00,197,0.42,Sunday,No,Clear,52
2024-01-07,11:00:00,142,0.64,Sunday,No,Rain,37
2024-01-07,12:00:00,61,0.9,Sunday,No,Clear,30
2024-01-07,13:00:00,167,0.87,Sunday,No,Snow,55
2024-01-07,14:00:00,150,0.31,Sunday,No,Clear,61
2024-01-07,15:00:00,131,0.87,Sunday,No,Clear,60
2024-01-07,16:00:00,153,0.97,Sunday,No,Clear,40
2024-01-07,17:00:00,274,0.36,Sunday,No,Rain,22
2024-01-07,18:00:00,156,0.67,Sunday,No,Snow,61
2024-01-07,19:00:00,149,0.99,Sunday,No,Clear,27
2024-01-07,20:00:00,101,0.43,Sunday,No,Clear,37
2024-01-07,21:00:00,210,0.58,Sunday,No,Rain,38
2024-01-07,22:00:00,267,0.59,Sunday,No,Clear,21
2024-01-07,23:00:00,133,0.32,Sunday,No,Clear,63
2024-01-08,00:00:00,63,0.32,Monday,No,Clear,60
2024-01-08,01:00:00,243,0.73,Monday,No,Snow,42
2024-01-08,02:00:00,206,0.31,Monday,Yes,Clear,65
2024-01-08,03:00:00,235,0.76,Monday,No,Clear,34
2024-01-08,04:00:00,296,0.69,Monday,No,Clear,37
2024-01-08,05:00:00,289,0.93,Monday,No,Clear,61
2024-01-08,06:00:00,278,0.68,Monday,No,Clear,32
2024-01-08,07:00:00,233,0.73,Monday,No,Rain,46
2024-01-08,08:00:00,56,0.9,Monday,No,Clear,51
2024-01-08,09:00:00,67,0.78,Monday,Yes,Clear,23
2024-01-08,10:00:00,85,0.51,Monday,No,Clear,58
2024-01-08,11:00:00,229,0.71,Monday,No,Clear,24
2024-01-08,12:00:00,217,0.88,Monday,No,Snow,29
2024-01-08,13:00:00,84,0.45,Monday,No,Clear,36
2024-01-08,14:00:00,137,0.35,Monday,No,Clear,60
2024-01-08,15:00:00,224,0.85,Monday,No,Clear,54
2024-01-08,16:00:00,250,0.45,Monday,No,Clear,52
2024-01-08,17:00:00,240,0.71,Monday,No,Clear,20
2024-01-08,18:00:00,80,1.0,Monday,No,Clear,35
2024-01-08,19:00:00,247,0.43,Monday,Yes,Clear,33
2024-01-08,20:00:00,139,0.74,Monday,No,Clear,59
2024-01-08,21:00:00,125,0.64,Monday,Yes,Rain,22
2024-01-08,22:00:00,60,0.57,Monday,No,Clear,23
2024-01-08,23:00:00,255,0.33,Monday,No,Clear,44
2024-01-09,00:00:00,78,0.43,Tuesday,Yes,Rain,55
2024-01-09,01:00:00,252,0.97,Tuesday,No,Clear,61
2024-01-09,02:00:00,153,0.35,Tuesday,No,Rain,66
2024-01-09,03:00:00,118,0.56,Tuesday,Yes,Snow,56
2024-01-09,04:00:00,175,0.73,Tuesday,No,Clear,53
2024-01-09,05:00:00,191,0.94,Tuesday,No,Clear,38
2024-01-09,06:00:00,245,0.78,Tuesday,No,Rain,51
2024-01-09,07:00:00,195,0.63,Tuesday,No,Clear,58
2024-01-09,08:00:00,239,0.85,Tuesday,No,Rain,30
2024-01-09,09:00:00,197,0.93,Tuesday,No,Clear,61
2024-01-09,10:00:00,234,0.9,Tuesday,No,Rain,67
2024-01-09,11:00:00,290,0.35,Tuesday,Yes,Clear,62
2024-01-09,12:00:00,128,0.35,Tuesday,No,Clear,44
2024-01-09,13:00:00,293,0.55,Tuesday,No,Clear,36
2024-01-09,14:00:00,233,0.84,Tuesday,Yes,Clear,30
2024-01-09,15:00:00,139,0.92,Tuesday,No,Clear,63
2024-01-09,16:00:00,233,0.4,Tuesday,No,Clear,33
2024-01-09,17:00:00,147,0.88,Tuesday,No,Clear,55
2024-01-09,18:00:00,231,0.92,Tuesday,Yes,Clear,20
2024-01-09,19:00:00,209,0.99,Tuesday,No,Snow,65
2024-01-09,20:00:00,93,0.32,Tuesday,No,Clear,29
2024-01-09,21:00:00,249,0.64,Tuesday,No,Clear,56
2024-01-09,22:00:00,170,0.78,Tuesday,No,Clear,33
2024-01-09,23:00:00,119,0.96,Tuesday,No,Rain,44
2024-01-10,00:00:00,56,0.77,Wednesday,No,Rain,49
2024-01-10,01:00:00,74,0.8,Wednesday,No,Snow,46
2024-01-10,02:00:00,126,0.64,Wednesday,No,Clear,37
2024-01-10,03:00:00,207,0.76,Wednesday,No,Clear,21
2024-01-10,04:00:00,93,0.67,Wednesday,No,Clear,22
2024-01-10,05:00:00,170,0.42,Wednesday,No,Rain,40
2024-01-10,06:00:00,216,0.99,Wednesday,Yes,Snow,38
2024-01-10,07:00:00,179,0.76,Wednesday,No,Rain,35
2024-01-10,08:00:00,238,0.69,Wednesday,No,Clear,30
2024-01-10,09:00:00,107,0.3,Wednesday,No,Rain,38
2024-01-10,10:00:00,222,0.66,Wednesday,No,Snow,45
2024-01-10,11:00:00,177,0.72,Wednesday,No,Clear,57
2024-01-10,12:00:00,84,0.33,Wednesday,No,Clear,36
2024-01-10,13:00:00,240,0.69,Wednesday,No,Rain,37
2024-01-10,14:00:00,264,0.35,Wednesday,No,Rain,40
2024-01-10,15:00:00,63,0.87,Wednesday,No,Snow,30
2024-01-10,16:00:00,222,0.3,Wednesday,No,Snow,68
2024-01-10,17:00:00,148,1.0,Wednesday,No,Rain,25
2024-01-10,18:00:00,115,0.71,Wednesday,No,Rain,64
2024-01-10,19:00:00,298,0.4,Wednesday,No,Clear,63
2024-01-10,20:00:00,229,0.36,Wednesday,No,Clear,65
2024-01-10,21:00:00,98,0.32,Wednesday,No,Rain,30
2024-01-10,22:00:00,151,0.54,Wednesday,No,Clear,51
2024-01-10,23:00:00,248,0.89,Wednesday,No,Clear,45
2024-01-11,00:00:00,53,0.71,Thursday,No,Clear,43
2024-01-11,01:00:00,127,0.44,Thursday,No,Clear,24
2024-01-11,02:00:00,185,0.85,Thursday,No,Clear,26
2024-01-11,03:00:00,121,0.66,Thursday,No,Clear,34
2024-01-11,04:00:00,292,0.92,Thursday,No,Rain,52
2024-01-11,05:00:00,230,0.58,Thursday,No,Rain,65
2024-01-11,06:00:00,57,0.84,Thursday,No,Rain,32
2024-01-11,07:00:00,142,0.52,Thursday,No,Clear,35
2024-01-11,08:00:00,134,0.45,Thursday,Yes,Clear,52
2024-01-11,09:00:00,146,0.63,Thursday,No,Clear,50
2024-01-11,10:00:00,69,0.88,Thursday,No,Clear,53
2024-01-11,11:00:00,253,0.33,Thursday,No,Clear,37
2024-01-11,12:00:00,197,0.75,Thursday,No,Clear,65
2024-01-11,13:00:00,98,0.72,Thursday,No,Rain,43
2024-01-11,14:00:00,269,0.32,Thursday,No,Rain,53
2024-01-11,15:00:00,278,0.58,Thursday,No,Rain,61
2024-01-11,16:00:00,96,0.32,Thursday,No,Clear,22
2024-01-11,17:00:00,241,0.51,Thursday,No,Clear,50
2024-01-11,18:00:00,77,0.84,Thursday,No,Clear,23
2024-01-11,19:00:00,281,0.44,Thursday,No,Clear,29
2024-01-11,20:00:00,298,0.41,Thursday,No,Rain,33
2024-01-11,21:00:00,75,0.82,Thursday,No,Clear,30
2024-01-11,22:00:00,106,0.63,Thursday,No,Clear,60
2024-01-11,23:00:00,285,0.36,Thursday,No,Rain,47
2024-01-12,00:00:00,72,0.51,Friday,No,Clear,53
2024-01-12,01:00:00,180,0.67,Friday,No,Rain,24
2024-01-12,02:00:00,249,0.33,Friday,No,Clear,42
2024-01-12,03:00:00,247,0.63,Friday,No,Snow,43
2024-01-12,04:00:00,101,0.62,Friday,No,Clear,59
2024-01-12,05:00:00,174,0.72,Friday,No,Snow,55
2024-01-12,06:00:00,180,0.9,Friday,No,Clear,41
2024-01-12,07:00:00,299,0.5,Friday,No,Rain,31
2024-01-12,08:00:00,136,0.72,Friday,No,Rain,58
2024-01-12,09:00:00,190,0.64,Friday,No,Clear,36
2024-01-12,10:00:00,207,0.34,Friday,No,Clear,39
2024-01-12,11:00:00,192,0.54,Friday,No,Clear,44
2024-01-12,12:00:00,186,0.69,Friday,No,Snow,53
2024-01-12,13:00:00,220,0.59,Friday,No,Clear,25
2024-01-12,14:00:00,56,0.9,Friday,No,Clear,30
2024-01-12,15:00:00,68,0.45,Friday,No,Clear,58
2024-01-12,16:00:00,291,0.48,Friday,No,Clear,44
2024-01-12,17:00:00,262,0.44,Friday,No,Clear,62
2024-01-12,18:00:00,156,0.68,Friday,No,Clear,58
2024-01-12,19:00:00,133,0.38,Friday,No,Snow,22
2024-01-12,20:00:00,125,0.47,Friday,No,Clear,23
2024-01-12,21:00:00,210,0.95,Friday,No,Clear,46
2024-01-12,22:00:00,150,0.82,Friday,No,Clear,54
2024-01-12,23:00:00,218,0.8,Friday,No,Clear,51
2024-01-13,00:00:00,278,0.78,Saturday,No,Clear,53
2024-01-13,01:00:00,138,0.52,Saturday,Yes,Clear,37
2024-01-13,02:00:00,258,0.94,Saturday,No,Clear,30
2024-01-13,03:00:00,259,0.56,Saturday,No,Clear,59
2024-01-13,04:00:00,120,0.88,Saturday,No,Clear,23
2024-01-13,05:00:00,288,0.78,Saturday,No,Clear,37
2024-01-13,06:00:00,76,0.95,Saturday,No,Clear,35
2024-01-13,07:00:00,279,0.56,Saturday,Yes,Clear,55
2024-01-13,08:00:00,199,0.63,Saturday,No,Clear,42
2024-01-13,09:00:00,83,0.86,Saturday,No,Rain,30
2024-01-13,10:00:00,112,0.51,Saturday,No,Rain,54
2024-01-13,11:00:00,189,0.34,Saturday,No,Snow,38
2024-01-13,12:00:00,132,0.97,Saturday,No,Clear,54
2024-01-13,13:00:00,111,0.86,Saturday,No,Clear,52
2024-01-13,14:00:00,213,0.96,Saturday,No,Snow,25
2024-01-13,15:00:00,114,0.82,Saturday,No,Clear,58
2024-01-13,16:00:00,123,0.68,Saturday,No,Clear,30
2024-01-13,17:00:00,267,0.6,Saturday,No,Snow,44
2024-01-13,18:00:00,68,0.92,Saturday,No,Clear,22
2024-01-13,19:00:00,69,0.67,Saturday,No,Snow,35
2024-01-13,20:00:00,165,0.61,Saturday,No,Clear,54
2024-01-13,21:00:00,98,0.53,Saturday,No,Clear,63
2024-01-13,22:00:00,167,0.37,Saturday,No,Clear,59
2024-01-13,23:00:00,275,0.69,Saturday,No,Clear,34
2024-01-14,00:00:00,62,0.89,Sunday,No,Rain,33
2024-01-14,01:00:00,254,0.31,Sunday,Yes,Clear,28
2024-01-14,02:00:00,195,0.32,Sunday,No,Snow,37
2024-01-14,03:00:00,289,0.33,Sunday,No,Clear,23
2024-01-14,04:00:00,103,0.45,Sunday,No,Clear,51
2024-01-14,05:00:00,50,0.4,Sunday,No,Clear,20
2024-01-14,06:00:00,179,0.41,Sunday,No,Clear,40
2024-01-14,07:00:00,291,0.88,Sunday,No,Clear,48
2024-01-14,08:00:00,234,0.61,Sunday,No,Clear,56
2024-01-14,09:00:00,152,0.36,Sunday,No,Snow,24
2024-01-14,10:00:00,95,0.64,Sunday,No,Clear,45
2024-01-14,11:00:00,148,0.41,Sunday,No,Rain,68
2024-01-14,12:00:00,241,0.86,Sunday,No,Clear,47
2024-01-14,13:00:00,70,0.82,Sunday,No,Clear,30
2024-01-14,14:00:00,110,0.75,Sunday,No,Clear,51
2024-01-14,15:00:00,172,0.67,Sunday,Yes,Snow,68
2024-01-14,16:00:00,131,0.55,Sunday,No,Clear,59
2024-01-14,17:00:00,111,0.83,Sunday,No,Snow,64
2024-01-14,18:00:00,242,0.79,Sunday,No,Clear,45
2024-01-14,19:00:00,253,0.96,Sunday,No,Snow,35
2024-01-14,20:00:00,190,0.41,Sunday,No,Clear,23
2024-01-14,21:00:00,161,0.46,Sunday,No,Clear,37
2024-01-14,22:00:00,98,0.7,Sunday,No,Clear,53
2024-01-14,23:00:00,178,0.93,Sunday,No,Rain,33
2024-01-15,00:00:00,281,0.35,Monday,No,Rain,48
2024-01-15,01:00:00,166,0.48,Monday,No,Clear,65
2024-01-15,02:00:00,91,0.88,Monday,Yes,Clear,53
2024-01-15,03:00:00,67,0.91,Monday,Yes,Clear,38
2024-01-15,04:00:00,230,0.34,Monday,No,Clear,54
2024-01-15,05:00:00,155,0.39,Monday,No,Clear,62
2024-01-15,06:00:00,76,0.47,Monday,No,Rain,34
2024-01-15,07:00:00,239,0.75,Monday,No,Clear,59
2024-01-15,08:00:00,110,0.72,Monday,No,Clear,35
2024-01-15,09:00:00,147,0.73,Monday,Yes,Clear,28
2024-01-15,10:00:00,249,0.48,Monday,No,Rain,45
2024-01-15,11:00:00,204,0.73,Monday,No,Rain,41
2024-01-15,12:00:00,115,0.83,Monday,No,Clear,40
2024-01-15,13:00:00,182,0.42,Monday,No,Clear,38
2024-01-15,14:00:00,97,0.71,Monday,No,Clear,64
2024-01-15,15:00:00,265,0.58,Monday,No,Rain,41
2024-01-15,16:00:00,210,0.54,Monday,No,Snow,28
2024-01-15,17:00:00,182,0.82,Monday,Yes,Clear,58
2024-01-15,18:00:00,287,0.85,Monday,No,Clear,33
2024-01-15,19:00:00,227,0.43,Monday,No,Rain,69
2024-01-15,20:00:00,257,0.6,Monday,No,Clear,40
2024-01-15,21:00:00,130,0.36,Monday,No,Snow,33
2024-01-15,22:00:00,294,0.43,Monday,No,Clear,56
2024-01-15,23:00:00,254,0.61,Monday,No,Clear,36
2024-01-16,00:00:00,84,0.62,Tuesday,No,Rain,27
2024-01-16,01:00:00,79,0.92,Tuesday,No,Rain,51
2024-01-16,02:00:00,238,0.66,Tuesday,No,Rain,44
2024-01-16,03:00:00,211,0.31,Tuesday,No,Clear,61
2024-01-16,04:00:00,128,0.44,Tuesday,No,Clear,32
2024-01-16,05:00:00,53,0.85,Tuesday,No,Clear,56
2024-01-16,06:00:00,61,0.6,Tuesday,No,Clear,35
2024-01-16,07:00:00,285,0.34,Tuesday,No,Clear,28
2024-01-16,08:00:00,206,0.77,Tuesday,No,Clear,30
2024-01-16,09:00:00,290,0.43,Tuesday,No,Clear,54
2024-01-16,10:00:00,69,0.59,Tuesday,No,Clear,23
2024-01-16,11:00:00,155,0.54,Tuesday,No,Clear,26
2024-01-16,12:00:00,167,0.37,Tuesday,No,Clear,36
2024-01-16,13:00:00,139,0.91,Tuesday,No,Clear,21
2024-01-16,14:00:00,276,0.78,Tuesday,No,Clear,20
2024-01-16,15:00:00,141,0.82,Tuesday,No,Clear,64
2024-01-16,16:00:00,182,0.95,Tuesday,No,Rain,50
2024-01-16,17:00:00,200,0.75,Tuesday,No,Snow,59
2024-01-16,18:00:00,88,0.42,Tuesday,No,Clear,51
2024-01-16,19:00:00,286,0.34,Tuesday,No,Clear,41
2024-01-16,20:00:00,179,0.95,Tuesday,No,Rain,52
2024-01-16,21:00:00,179,0.73,Tuesday,No,Clear,23
2024-01-16,22:00:00,193,0.34,Tuesday,No,Clear,27
2024-01-16,23:00:00,92,0.76,Tuesday,No,Clear,20
2024-01-17,00:00:00,225,0.99,Wednesday,No,Clear,36
2024-01-17,01:00:00,266,0.79,Wednesday,No,Clear,65
2024-01-17,02:00:00,256,0.6,Wednesday,No,Clear,26
2024-01-17,03:00:00,118,0.85,Wednesday,No,Clear,68
2024-01-17,04:00:00,92,0.55,Wednesday,No,Rain,52
2024-01-17,05:00:00,258,0.39,Wednesday,Yes,Clear,61
2024-01-17,06:00:00,77,0.77,Wednesday,No,Clear,40
2024-01-17,07:00:00,187,0.65,Wednesday,No,Rain,63
2024-01-17,08:00:00,284,0.7,Wednesday,No,Rain,26
2024-01-17,09:00:00,244,0.76,Wednesday,No,Clear,50
2024-01-17,10:00:00,238,0.44,Wednesday,No,Clear,26
2024-01-17,11:00:00,92,0.69,Wednesday,No,Clear,55
2024-01-17,12:00:00,271,0.92,Wednesday,No,Rain,65
2024-01-17,13:00:00,111,0.36,Wednesday,No,Clear,23
2024-01-17,14:00:00,290,0.35,Wednesday,No,Clear,37
2024-01-17,15:00:00,207,0.67,Wednesday,No,Clear,43
2024-01-17,16:00:00,282,0.3,Wednesday,No,Clear,50
2024-01-17,17:00:00,75,0.56,Wednesday,No,Clear,68
2024-01-17,18:00:00,165,0.59,Wednesday,No,Rain,29
2024-01-17,19:00:00,292,0.75,Wednesday,No,Clear,49
2024-01-17,20:00:00,52,0.81,Wednesday,No,Rain,34
2024-01-17,21:00:00,139,0.4,Wednesday,No,Snow,31
2024-01-17,22:00:00,97,0.47,Wednesday,No,Clear,65
2024-01-17,23:00:00,68,0.43,Wednesday,No,Rain,40
2024-01-18,00:00:00,284,0.86,Thursday,No,Clear,52
2024-01-18,01:00:00,269,1.0,Thursday,No,Clear,21
2024-01-18,02:00:00,80,0.42,Thursday,Yes,Clear,34
2024-01-18,03:00:00,100,0.67,Thursday,No,Clear,64
2024-01-18,04:00:00,278,0.86,Thursday,No,Clear,32
2024-01-18,05:00:00,231,0.31,Thursday,No,Clear,62
2024-01-18,06:00:00,170,0.9,Thursday,No,Clear,40
2024-01-18,07:00:00,231,0.36,Thursday,No,Clear,58
2024-01-18,08:00:00,291,0.84,Thursday,No,Clear,65
2024-01-18,09:00:00,244,0.38,Thursday,No,Clear,48
2024-01-18,10:00:00,54,0.54,Thursday,No,Clear,24
2024-01-18,11:00:00,140,0.39,Thursday,No,Clear,20
2024-01-18,12:00:00,71,0.43,Thursday,No,Clear,41
2024-01-18,13:00:00,128,0.8,Thursday,No,Clear,36
2024-01-18,14:00:00,89,0.65,Thursday,No,Clear,24
2024-01-18,15:00:00,245,0.91,Thursday,No,Clear,67
2024-01-18,16:00:00,246,0.87,Thursday,No,Snow,28
2024-01-18,17:00:00,165,0.42,Thursday,No,Rain,62
2024-01-18,18:00:00,82,0.86,Thursday,No,Clear,47
2024-01-18,19:00:00,151,0.94,Thursday,No,Clear,44
2024-01-18,20:00:00,261,0.51,Thursday,No,Rain,21
2024-01-18,21:00:00,288,0.81,Thursday,Yes,Clear,33
2024-01-18,22:00:00,106,0.91,Thursday,Yes,Snow,55
